id	person_id	membership_type	start_date	end_date	status	notes	created_at	updated_at	mosque_id
1115	1115	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1116	1116	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1117	1117	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1118	1118	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1119	1119	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1120	1120	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1121	1121	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1122	1122	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1123	1123	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1124	1124	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1125	1125	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1126	1126	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1127	1127	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1128	1128	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1129	1129	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1130	1130	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1131	1131	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1132	1132	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1133	1133	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1134	1134	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1135	1135	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1136	1136	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1137	1137	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1138	1138	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1139	1139	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1140	1140	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1141	1141	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
